attribute_id,name,sequence,code
Cable DC Connector,Molex 39-01-2085,,molex_39012085
Cable Type,Adapter cable,10,adapter_cable
Cable Type,IDE cable,20,ide_cable
Cable Type,I/O cable,30,io_cable
Cable Type,Pin header cable,40,pin_header_cable
Cable Type,Power cable,50,power_cable
Cable Type,SATA data cable,60,sata_data_cable
Cable Type,SATA power cable,70,sata_power_cable
Case Color,Black,10,black
Case Color,Black and Gray,20,black_and_gray
Case Color,Black and Silver,30,black_and_silver
Case Color,Gray,40,gray
Case Color,Orange,50,orange
Case Color,Orange and Silver,60,orange_and_silver
Case Color,Red,70,red
Case Color,Silver,80,silver
Case Material,Aluminum,10,aluminum
Case Material,Aluminum Extrusion,20,aluminum_extrusion
Case Material,Cast Aluminum,30,cast_aluminum
Case Material,Plastic,40,plastic
Case Material,Steel,50,steel
Case Mounting Options,"VESA Mount (MIS-D 75, 100)",60,vesa_mount_misd_75_100
Case Mounting Options,"VESA Mount (included) (MIS-D 75, 100)",110,vesa_mount_included_misd_75_100
Case Mounting Options,"VESA Mount (with bracket) (MIS-D 75, 100)",160,vesa_mount_with_bracket_misd_75_100
Case Mounting Options,DIN Mount,10,din_mount
Case Mounting Options,DIN Mount (included),20,din_mount_included
Case Mounting Options,Rackmount,30,rackmount
Case Mounting Options,VESA Mount,40,vesa_mount
Case Mounting Options,VESA Mount (MIS-D 75),50,vesa_mount_misd_75
Case Mounting Options,VESA Mount (MIS-D 100),70,vesa_mount_misd_100
Case Mounting Options,VESA Mount (MIS-D 200),80,vesa_mount_misd_200
Case Mounting Options,VESA Mount (included),90,vesa_mount_included
Case Mounting Options,VESA Mount (included) (MIS-D 75),100,vesa_mount_included_misd_75
Case Mounting Options,VESA Mount (included) (MIS-D 100),120,vesa_mount_included_misd_100
Case Mounting Options,VESA Mount (included) (MIS-D 200),130,vesa_mount_included_misd_200
Case Mounting Options,VESA Mount (with bracket),140,vesa_mount_with_bracket
Case Mounting Options,VESA Mount (with bracket) (MIS-D 75),150,vesa_mount_with_bracket_misd_75
Case Mounting Options,VESA Mount (with bracket) (MIS-D 100),170,vesa_mount_with_bracket_misd_100
Case Mounting Options,VESA Mount (with bracket) (MIS-D 200),180,vesa_mount_with_bracket_misd_200
Case Mounting Options,Wall Mount,190,wall_mount
Case Mounting Options,Wall Mount (included),200,wall_mount_included
Case Mounting Options,Wall Mount (kit included),210,wall_mount_kit_included
Case Mounting Options,Wall Mount (with damping bracket),220,wall_mount_with_damping_bracket
Case Port Punchouts,1 Antenna Hole,10,1_antenna_hole
Case Port Punchouts,2 Antenna Holes,20,2_antenna_holes
Case Port Punchouts,3 Antenna Holes,30,3_antenna_holes
Case Port Punchouts,4 Antenna Holes,40,4_antenna_holes
Case Port Punchouts,5 Antenna Holes,50,5_antenna_holes
Case Port Punchouts,6 Antenna Holes,60,6_antenna_holes
Case Port Punchouts,8 Antenna Holes,65,8_antenna_holes
Case Port Punchouts,12 Antenna Holes,70,12_antenna_holes
Case Port Punchouts,1 Serial,80,1_serial
Case Port Punchouts,2 Serial,90,2_serial
Case Port Punchouts,1 USB,100,1_usb
Case Port Punchouts,2 USB,110,2_usb
Case Port Punchouts,DC Jack,120,dc_jack
Case Port Punchouts,7x SMA Punchouts,130,7x_sma_punchouts
Case Type (Chassis),Automotive,10,automotive
Case Type (Chassis),Compact,20,compact
Case Type (Chassis),Customizable,30,customizable
Case Type (Chassis),Expandable,40,expandable
Case Type (Chassis),Fanless,50,fanless
Case Type (Chassis),Modular,60,modular
Case Type (Chassis),Rackmount,70,rackmount
Case Type (Chassis),Ruggedized,80,ruggedized
Case Type (Chassis),Storage-Oriented,90,storageoriented
Classification,AC Adapter,10,1aeee461-21b3-428e-8024-b3230d0db9ae
Classification,Accessories,20,a0537563-651d-439e-afb6-83e8cc304d6e
Classification,Add,30,0b9a12d1-dde5-4955-8600-a609d10a8da1
Classification,Additional Cables,40,2bba4056-1c6a-4063-b17e-bc53e926a260
Classification,Additional SIM,50,06ca54c9-affe-4aca-ae1c-b5bafa22aad8
Classification,Additional Storage,60,507f4bed-9508-4552-a8e6-82e6a8ae4c92
Classification,Add-on Module,70,a89ff3e4-193c-484d-b93e-a745777a761e
Classification,Antennas,80,af3a309a-26d9-4b1d-9118-23274c1a36a1
Classification,Assembly and Validation,90,57527665-eb36-41fe-ab26-63ae6ff311b0
Classification,BIOS,100,64ae4d99-e3af-4763-bbe6-c858d912eea2
Classification,Case,110,043cbd22-b0bf-432b-8590-fb85ba583119
Classification,Case Component,120,f2221929-cb42-4008-898b-5e639f60822f
Classification,Discrete GPU,130,a2fc90ba-0234-4fbe-a04f-ae25f87c2fc0
Classification,Display,140,61f072a8-659d-4cc6-8c5e-93a4892fe4e2
Classification,Documentation,150,c9c4c931-1225-4de9-965d-4a82d384a4cd
Classification,Expansion,160,07ae5352-0011-48f2-b270-9022c75a8f55
Classification,Hardware Setting,170,35a8bf37-f971-4b4b-8d2d-3994a05c9046
Classification,Hidden,180,0a1acf59-4b28-4061-8539-6915a9a08a4f
Classification,Hot Swap as Primary Storage,190,2c363869-c8b5-45d8-adea-f6176a20cddb
Classification,Hot Swap Storage,200,7dcdcd8c-cfd8-4b06-abbb-f64c5931c293
Classification,Inserts,210,59b916ed-2348-4ad4-9a56-3d2adbc768a1
Classification,Internal Cabling 1,220,5fb6ebac-ab61-42d4-a6d0-1ec8da7fb7c3
Classification,Internal Cabling 2,230,c65a9c33-e580-4dd4-a81c-f8c3a3614f4f
Classification,Internal PSU,240,e1d6e09e-b0be-4353-ab75-6536c5304448
Classification,Memory (RAM),250,fe9f3d04-d80c-4726-a6fa-e491ef3663e5
Classification,Motherboard,260,e4a62efd-30db-4626-a921-e30ebf5a758e
Classification,Mounting Brackets,270,63c28ecf-be99-427c-86f4-81435c21af0d
Classification,N/A,280,5e42fd7b-2799-4df9-bc96-51753d3087f8
Classification,Operating System,290,69bc284a-bb25-4b7a-bf47-a2c1b7304e00
Classification,Packaging,300,6114cb9e-8925-4812-82e3-6cfb882f7a7c
Classification,Prep,310,3388f4a3-2da3-4a04-9df8-3032fbf4a6a0
Classification,Primary SIM,320,ef82edf7-d253-44aa-8e8d-ddc3f95c5572
Classification,Primary Storage,330,dfbe6c1f-e500-4545-be38-e8eff9fbd50c
Classification,Processor,340,b8c9714e-2d44-4117-ae87-2d4de266b752
Classification,Testing Service,350,95900389-8cb3-4eaf-a5a4-266203bfdf97
Classification,Timings,360,10869643-62fe-42e7-9c95-dd4e46d1ed8c
Classification,Warranty,370,f2ec8f39-128e-490c-a394-35f5063067ce
Classification,Wireless Connectivity,380,e48cef2d-c7c6-4658-9d64-d188b34543c6
Connectivity,HSDPA+,90,hsdpa
Connectivity,HSPA+,100,hspa
Connectivity,UMTS/DC-HSPA+,150,umtsdchspa
Connectivity,2G,10,2g
Connectivity,3G,20,3g
Connectivity,3.75G,30,375g
Connectivity,4G LTE,40,4g_lte
Connectivity,Bluetooth,50,bluetooth
Connectivity,EGPRS,60,egprs
Connectivity,GPS,70,gps
Connectivity,GSM,80,gsm
Connectivity,LTE,110,lte
Connectivity,LTE-A,120,ltea
Connectivity,SMS,130,sms
Connectivity,UMTS,140,umts
Connectivity,VoLTE,160,volte
Connectivity,Wi-Fi,170,wifi
Connectivity,ZigBee,180,zigbee
Cooling Type,Fanless,10,fanless
Cooling Type,Actively Cooled,20,actively_cooled
Cooling Type,Hybrid Fanless/Actively Cooled,30,hybrid_fanlessactively_cooled
Data Rate,Cat 4 (150 Mb/s DL&#44; 50 Mb/s UL),10,cat_4_150_mbs_dl_44_50_mbs_ul
Data Rate,Cat 6 (300 Mb/s DL&#44; 50Mb/s UL),20,cat_6_300_mbs_dl_44_50mbs_ul
Data Rate,Cat M1 Half-duplex (300 Kb/s DL&#44; 375Kb/s UL),30,cat_m1_halfduplex_300_kbs_dl_44_375kbs_ul
Data Rate,NB-IoT (27.2 Kb/s DL&#44; 62.5 Kb/s UL),40,nbiot_272_kbs_dl_44_625_kbs_ul
Display Aspect Ratio,~17:9,10,~17:9
Display Aspect Ratio,16:10,20,16_10
Display Aspect Ratio,16:09,30,16_9
Display Aspect Ratio,5:04,40,5_4
Display Aspect Ratio,5:03,50,5_3
Display Aspect Ratio,4:03,60,4_3
Display Contrast Ratio,300:01:00,10,300_1
Display Contrast Ratio,350:01:00,20,350_1
Display Contrast Ratio,400:01:00,30,400_1
Display Contrast Ratio,500:01:00,40,500_1
Display Contrast Ratio,600:01:00,50,600_1
Display Contrast Ratio,700:01:00,60,700_1
Display Contrast Ratio,800:01:00,70,800_1
Display Contrast Ratio,1000:01:00,80,1000_1
Display Contrast Ratio,1200:01:00,90,1200_1
Display Contrast Ratio,1300:01:00,100,1300_1
Display Contrast Ratio,1400:01:00,110,1400_1
Display Contrast Ratio,5000:01:00,120,5000_1
Display Mounting Options,"VESA Mount (MIS-D 75, 100)",60,vesa_mount_misd_75_100
Display Mounting Options,"VESA Mount (included) (MIS-D 75, 100)",110,vesa_mount_included_misd_75_100
Display Mounting Options,"VESA Mount (with bracket) (MIS-D 75, 100)",160,vesa_mount_with_bracket_misd_75_100
Display Mounting Options,Panel Mount,10,panel_mount
Display Mounting Options,Panel Mount (10 LVDS clips included with screen),20,panel_mount_10_lvds_clips_included_with_screen
Display Mounting Options,Panel Mount (kit included),30,panel_mount_kit_included
Display Mounting Options,VESA Mount,40,vesa_mount
Display Mounting Options,VESA Mount (MIS-D 75),50,vesa_mount_misd_75
Display Mounting Options,VESA Mount (MIS-D 100),70,vesa_mount_misd_100
Display Mounting Options,VESA Mount (MIS-D 200),80,vesa_mount_misd_200
Display Mounting Options,VESA Mount (included),90,vesa_mount_included
Display Mounting Options,VESA Mount (included) (MIS-D 75),100,vesa_mount_included_misd_75
Display Mounting Options,VESA Mount (included) (MIS-D 100),120,vesa_mount_included_misd_100
Display Mounting Options,VESA Mount (included) (MIS-D 200),130,vesa_mount_included_misd_200
Display Mounting Options,VESA Mount (with bracket),140,vesa_mount_with_bracket
Display Mounting Options,VESA Mount (with bracket) (MIS-D 75),150,vesa_mount_with_bracket_misd_75
Display Mounting Options,VESA Mount (with bracket) (MIS-D 100),170,vesa_mount_with_bracket_misd_100
Display Mounting Options,VESA Mount (with bracket) (MIS-D 200),180,vesa_mount_with_bracket_misd_200
Display Output Type,DisplayPort,10,displayport
Display Output Type,DVI-D Port,20,dvid_port
Display Output Type,DVI-I Port,30,dvii_port
Display Output Type,HDMI,40,hdmi
Display Output Type,VGA,50,vga
Display Resolution,480 x 272,10,480_x_272
Display Resolution,640 x 480 (VGA),20,640_x_480_vga
Display Resolution,800 x 480 (WVGA),30,800_x_480_wvga
Display Resolution,800 x 600 (SVGA),40,800_x_600_svga
Display Resolution,1024 x 600,50,1024_x_600
Display Resolution,1024 x 768 (XGA),60,1024_x_768_xga
Display Resolution,1280 x 1024 (SXGA),70,1280_x_1024_sxga
Display Resolution,1280 x 720 (HD 720),80,1280_x_720_hd_720
Display Resolution,1280 x 768 (WXGA),90,1280_x_768_wxga
Display Resolution,1280 x 800 (WXGA),100,1280_x_800_wxga
Display Resolution,1366 x 768,110,1366_x_768
Display Resolution,1600 x 1200 (UXGA),120,1600_x_1200_uxga
Display Resolution,1920 x 1080 (HD 1080),130,1920_x_1080_hd_1080
Display Resolution,1920 x 1200 (WUXGA),140,1920_x_1200_wuxga
Display Resolution,2048 x 1152,150,2048_x_1152
Display Resolution,2560 x 1440 (QHD),160,2560_x_1440_qhd
Display Resolution,4096 x 2160 (4K),170,4096_x_2160_4k
Display Touchscreen Type,4-Wire Resistive,10,4wire_resistive
Display Touchscreen Type,5-Wire Resistive,20,5wire_resistive
Display Touchscreen Type,5-Wire Resistive or Capacitive,30,5wire_resistive_or_capacitive
Display Touchscreen Type,5-Wire Resistive or Projected Capacitive,40,5wire_resistive_or_projected_capacitive
Display Touchscreen Type,5-Point Capacitive,50,5point_capacitive
Display Touchscreen Type,Capacitive,60,capacitive
Display Touchscreen Type,IR,70,ir
Display Touchscreen Type,None,80,none
Display Touchscreen Type,Projected Capacitive,90,projected_capacitive
Display Touchscreen Type,SAW,100,saw
Drivers Supported,Windows 7,10,windows_7
Drivers Supported,Windows Embedded 7,20,windows_embedded_7
Drivers Supported,Windows 8.1,30,windows_81
Drivers Supported,Windows 10,40,windows_10
Drivers Supported,Ubuntu,50,ubuntu
EU Backorder Status,"Backorder Allowed, Do Not Notify",20,no-notify
EU Backorder Status,"Backorder Allowed, Notify",30,notify
EU Backorder Status,No Backorder,10,no-backorder
EU Lifecycle Status,In Development,10,in_development
EU Lifecycle Status,Coming Soon,20,coming_soon
EU Lifecycle Status,Pre-Order,30,preorder
EU Lifecycle Status,Available,40,available
EU Lifecycle Status,Discontinued,50,discontinued
EU Lifecycle Status,End of Life,60,end_of_life
EU Lifecycle Status,Canceled,70,canceled
EU Product Tax Code,[SE050000] Engineering Services,,8ec17d3f-bb3a-4968-bf3c-4b4d98c94016
EU Product Tax Code,"[PC070000] Hardware, Labor, and Services used in producing a system",,10b4537e-1194-47f4-bbc6-cacb5f867bd0
EU Product Tax Code,[ON020000] Non-Taxable (CAUTION),,e7979bf5-31b6-44c1-b368-57c207075a7d
EU Product Tax Code,[FR020200] Shipping & Freight,,7609216d-5ae7-4375-ad04-d157e5d64fcd
EU Product Tax Code,[DC011000] Software,,5ccc1dd6-091b-407f-96fd-ca4ba9d67c7f
EU Product Tax Code,[S0000000] Standalone Services not used in producing a system,,90b5059d-2658-43b1-b156-7582dcce2f37
EU Product Tax Code,"[SR060000] Support Service, Labor, and Parts",,c8d434ab-efc2-41fd-9779-122ac4e444ab
EU Product Tax Code,[NOTAVATAX2] Taxable Goods,,95cf857e-7161-11e8-89d7-0242ac120002
EU Product Tax Code,[NOTAVATAX7] Taxable Goods EU,,99788c69-137a-49b9-827b-4a50dcb7568a
EU Product Tax Code,[SW019478] Warranty,,4e127d7c-c069-4263-bfec-9ec9bb30e32a
Expansion Mobile Carriers,AT&T,10,at_t
Expansion Mobile Carriers,Verizon,20,verizon
Expansion Mobile Carriers,Vodafone,30,vodafone
Expansion Options,"1 Full-size mPCIe (PCIe x1, USB 2.0)",50,1_fullsize_mpcie_pcie_x1_usb_20
Expansion Options,"1 M.2 2230 E-key (PCIe x1, USB 2.0)",120,1_m2_2230_ekey_pcie_x1_usb_20
Expansion Options,"1 M.2 2230 E-key (PCIe, USB 2.0, CNVi)",130,1_m2_2230_ekey_pcie_usb_20_cnvi
Expansion Options,"1 M.2 2242/60/80 B-key (PCIe x1, USB 3.0, USB 2.0)",200,1_m2_22426080_bkey_pcie_x1_usb_30_usb_20
Expansion Options,"1 M.2 2280 M-key (PCIe x4, SATA)",250,1_m2_2280_mkey_pcie_x4_sata
Expansion Options,"1 M.2 2280 M-key (PCIe Gen 4 x4, SATA)",251,1_m2_2280_mkey_pcie_gen_4_x4_sata
Expansion Options,"1 M.2 2280/3042 B-key (PCIe x2, USB 3.0, SATA)",260,1_m2_22803042_bkey_pcie_x2_usb_30_sata
Expansion Options,"1 M.2 2280/60/3042 B-key (PCIe x2, USB 3.0, SATA)",270,1_m2_2280603042_bkey_pcie_x2_usb_30_sata
Expansion Options,"1 M.2 3042/2260/2280 B-key (PCIe x2, USB 2.0, SATA)",280,1_m2_304222602280_bkey_pcie_x2_usb_20_sata
Expansion Options,"1 M.2 3042/3052 B-key (USB 3.0, USB 2.0)",281,1_m2_30423052_bkey_usb_30_usb_20
Expansion Options,"1 M.2 3042/3052/2260/2280 B-key (PCIe x1, USB 3.0, USB 2.0)",290,1_m2_3042305222602280_bkey_pcie_x1_usb_30_usb_20
Expansion Options,"1 M.2 3042/3052/2280 B-key (PCIe x2, USB 2.0, USB 3.0, SATA)",291,1_m2_304230522280_bkey_pcie_x2_usb_20_usb_30_sata
Expansion Options,"1 M.2 3042/52/2260/80 B-key (PCIe x1, USB 3.0, USB 2.0, SIM)",292,"1_m2_3042/52/2260/80_bkey_pcie_x1,_usb_30,_usb_20,_sim"
Expansion Options,"1 mPCIe (PCIe x1, USB 2.0)",350,1_mpcie_pcie_x1_usb_20
Expansion Options,"1 PCIe x16 slot (optional, supporting x16, x8, and x4 cards)",560,1_pcie_x16_slot_optional_supporting_x16_x8_and_x4_cards
Expansion Options,"2 mPCIe (1 full-size shared with mSATA, 1 full-size with Nano-SIM holder)",740,2_mpcie_1_fullsize_shared_with_msata_1_fullsize_with_nanosim_holder
Expansion Options,"2 mPCIe (full-size, USB signals only)",760,2_mpcie_fullsize_usb_signals_only
Expansion Options,"2 PCIe 3.0 x16 slots (slot4: share with slot3, X16/x8, Slot6: share with slot5, X16/x8)",780,2_pcie_30_x16_slots_slot4_share_with_slot3_x16x8_slot6_share_with_slot5_x16x8
Expansion Options,"2 PCIe x8 slots (optional, supporting x16, x8, and x4 cards)",850,2_pcie_x8_slots_optional_supporting_x16_x8_and_x4_cards
Expansion Options,"3 PCIe 3.0 x8 slots (slot2: x8, slot3: share with slot3, X0/x8, Slot5: share with slot6, X0/x8)",950,3_pcie_30_x8_slots_slot2_x8_slot3_share_with_slot3_x0x8_slot5_share_with_slot6_x0x8
Expansion Options,"7 PCIe Gen 4.0 x16 slots (Slot 2 shared with M.2, OCuLink, and Mini-SAS HD)",1000,7_pcie_gen_40_x16_slots_slot_2_shared_with_m2_oculink_and_minisas_hd
Expansion Options,"M.2 2242/60/80 B-key (PCIe x1, USB 3.0, USB 2.0)",1010,"m.2_2242/60/80_bkey_pcie_x1,_usb_3.0,_usb_2.0"
Expansion Options,"PCIe slots support x4, x8 or x16 cards",1030,pcie_slots_support_x4_x8_or_x16_cards
Expansion Options,1 M.2 2280/2260 M-key (PCIe Gen 3 x1/ SATA III),,1_m2_2280/2260_mkey_pcie_gen_3_x1/_sata_iii
Expansion Options,"1 M.2 2280/3042/3052 B-Key (PCIe Gen 3 x1, USB 3.2, USB 2.0)",,"1_m2_2280/3042/3052_bkey_pcie_gen_3_x1,_usb_32,_usb_20"
Expansion Options,1 M.2 2230 E-key (Wi-Fi) (PCIe x1/ USB 2.0),,1_m2_2230_ekey_wifi_pcie_x1/_usb_20
Expansion Options,3FF-Sim slot (Mapped to the B-Key),,3ffsim_slot_mapped_to_the_bkey
Expansion Options,1 Cincoze Modular I/O slot,10,1_cincoze_modular_io_slot
Expansion Options,1 Cincoze Module slot,20,1_cincoze_module_slot
Expansion Options,1 Full-height mPCIe (shared with mSATA),30,1_fullheight_mpcie_shared_with_msata
Expansion Options,1 Full-size mPCIe,40,1_fullsize_mpcie
Expansion Options,1 Full-size mPCIe (shared with mSATA),60,1_fullsize_mpcie_shared_with_msata
Expansion Options,1 Full-size mPCIe (USB signal only),70,1_fullsize_mpcie_usb_signal_only
Expansion Options,1 Half-size mPCIe,80,1_halfsize_mpcie
Expansion Options,1 Half-size mPCIe (N3710 version only),90,1_halfsize_mpcie_n3710_version_only
Expansion Options,1 Half-size mPCIe (shared with mSATA),100,1_halfsize_mpcie_shared_with_msata
Expansion Options,1 M.2,110,1_m2
Expansion Options,"1 M.2 (Key M, 2242/2260/2280) with PCIe Gen3 x4 for SSD",115,"1_m2_key_m,_2242/2260/2280_with_pcie_gen3_x4_for_ssd"
Expansion Options,"1 M.2 (Key E, 2230) with PCIe x1, USB 2.0 and CNVi for Wireless",120,"1_m2_key_e,_2230_with_pcie_x1,_usb_20_and_cnvi_for_wireless"
Expansion Options,"1 M.2 (Key B, 3042/3052) with PCIe x1, USB 3.2 Gen1, USB 2.0 and SIM for 4G/5G",125,"1_m2_key_b,_3042/3052_with_pcie_x1,_usb_32_gen1,_usb_20_and_sim_for_4g/5g"
Expansion Options,1 M.2 2230 E-key,130,1_m2_2230_ekey
Expansion Options,1 M.2 2230 E-key (Pre-populated with Intel wireless card),140,1_m2_2230_ekey_prepopulated_with_intel_wireless_card
Expansion Options,1 M.2 2230 slot,150,1_m2_2230_slot
Expansion Options,1 M.2 2230/60/80 M-key (PCIe x2),160,1_m2_22306080_mkey_pcie_x2
Expansion Options,1 M.2 2242,170,1_m2_2242
Expansion Options,1 M.2 2242 B-key,180,1_m2_2242_bkey
Expansion Options,1 M.2 2242/2280,190,1_m2_22422280
Expansion Options,1 M.2 2242/60/80 M-key,210,1_m2_22426080_mkey
Expansion Options,1 M.2 2242/60/80/110 M-key,220,1_m2_22426080110_mkey
Expansion Options,1 M.2 2260/2280,230,1_m2_22602280
Expansion Options,1 M.2 2280 M-key,240,1_m2_2280_mkey
Expansion Options,1 M.2 2280 M-key (PCIe Gen 4 x4),241,1_m2_2280_mkey_pcie_gen_4_x4
Expansion Options,1 M.2 2280/2260/2242/2230 M-key (PCIe Gen 3 x4),242,1_m.2_2280/2260/2242/2230_mkey_pcie_gen_3_x4
Expansion Options,1 MezIO™ expansion port,300,1_mezio_expansion_port
Expansion Options,1 mPCIe,310,1_mpcie
Expansion Options,1 mPCIe (full-size with USIM),320,1_mpcie_fullsize_with_usim
Expansion Options,1 mPCIe (full-size),330,1_mpcie_fullsize
Expansion Options,1 mPCIe (full/half-size),340,1_mpcie_fullhalfsize
Expansion Options,1 mPCIe (shared with mSATA),360,1_mpcie_shared_with_msata
Expansion Options,1 Neousys MezIO Module,370,1_neousys_mezio_module
Expansion Options,1 PCI or 1 PCIe x4 (P2102E Only),380,1_pci_or_1_pcie_x4_p2102e_only
Expansion Options,1 PCI slot,390,1_pci_slot
Expansion Options,1 PCI slot (optional riser card),400,1_pci_slot_optional_riser_card
Expansion Options,1 PCIe 3.0 x4 slot,410,1_pcie_30_x4_slot
Expansion Options,1 PCIe 3.0 x4 slot (x4 lanes),420,1_pcie_30_x4_slot_x4_lanes
Expansion Options,1 PCIe 3.0 x8 slot (x8 lanes),430,1_pcie_30_x8_slot_x8_lanes
Expansion Options,1 PCIe Gen 3.0 x16 slot,440,1_pcie_gen_30_x16_slot
Expansion Options,1 PCIe Gen 3.0 x16 slot (x8 PCIe lanes),450,1_pcie_gen_30_x16_slot_x8_pcie_lanes
Expansion Options,1 PCIe Gen 3.0 x4 slot,460,1_pcie_gen_30_x4_slot
Expansion Options,1 PCIe Gen 4.0 x16 slot,470,1_pcie_gen_40_x16_slot
Expansion Options,1 PCIe Gen 4.0 x16 slot (shared with PCIe x4 storage options),480,1_pcie_gen_40_x16_slot_shared_with_pcie_x4_storage_options
Expansion Options,1 PCIe Gen 4.0 x16 or 2 PCIe Gen 4 x8,485,1_pcie_gen_40_x16_or_2_pcie_gen_4_x8
Expansion Options,"1 PCIe Gen 4.0 x16 Full Height, Fully Length slot (up to 150W)",487,"1_pcie_gen_4.0_x16_full_height,_fully_length_slot_up_to_150w"
Expansion Options,1 PCIe Gen 4.0 x16 Full Height,489,1_pcie_gen_4.0_x16_full_height
Expansion Options,1 PCIe x1 slot,490,1_pcie_x1_slot
Expansion Options,1 PCIe x1 slot (AU912),500,1_pcie_x1_slot_au912
Expansion Options,1 PCIe x1 slot (optional riser card),510,1_pcie_x1_slot_optional_riser_card
Expansion Options,1 PCIe x16 slot,520,1_pcie_x16_slot
Expansion Options,1 PCIe x16 slot (AU912),530,1_pcie_x16_slot_au912
Expansion Options,1 PCIe x16 slot (AU972),540,1_pcie_x16_slot_au972
Expansion Options,1 PCIe x16 slot (optional riser card),550,1_pcie_x16_slot_optional_riser_card
